Time,"User full name","Affected user","Event context",Component,"Event name",Description,Origin,"IP address"
"30/10/23, 14:50:22","Learner First","Learner First","User: Learner First",System,"Dashboard viewed","The user with id '3' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:21","Learner First",-,"Course: 파이썬 기초",System,"Course viewed","The user with id '3' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:20","Learner First",-,"Choice: 함수의 개념 사전 학습 설문",Choice,"Course module viewed","The user with id '3' viewed the 'choice' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:17","Learner First",-,"Course: 파이썬 기초",System,"Course viewed","The user with id '3' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:15","Learner First",-,System,System,"My courses viewed","The user with id '3' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:14","Learner First","Learner First","User: Learner First",System,"Dashboard viewed","The user with id '3' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:10","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:09","Learner First","Learner First","Forum: 자유게시판",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '5' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:07","Learner First","Learner First","Forum: 자유게시판",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '5' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:04","Learner First",-,"Forum: 자유게시판",Forum,"Discussion viewed","The user with id '3' has viewed the discussion with id '3' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:01","Learner First",-,"Forum: 자유게시판",Forum,"Discussion viewed","The user with id '3' has viewed the discussion with id '2' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:58","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:57","Learner First",-,"Forum: 자유게시판",Forum,"Discussion viewed","The user with id '3' has viewed the discussion with id '2' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:52","Learner First",-,"Forum: 자유게시판",Forum,"Discussion viewed","The user with id '3' has viewed the discussion with id '3' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:52","Learner First",-,"Forum: 자유게시판",Forum,"Post created","The user with id '3' has created the post with id '6' in the discussion with id '3' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:52","Learner First",-,"Forum: 자유게시판",Forum,"Some content has been posted.","The user with id '3' has posted content in the forum post with id '6' in the discussion '3' located in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:39","Learner First",-,"Forum: 자유게시판",Forum,"Discussion viewed","The user with id '3' has viewed the discussion with id '3' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:36","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:32","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:32","Learner First","Learner First","Forum: 자유게시판",Forum,"Discussion subscription created","The user with id '3' subscribed the user with id '3' to the discussion  with id '3' in the forum with the course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:32","Learner First",-,"Forum: 자유게시판",Forum,"Discussion created","The user with id '3' has created the discussion with id '3' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:32","Learner First",-,"Forum: 자유게시판",Forum,"Some content has been posted.","The user with id '3' has posted content in the forum post with id '5' in the discussion '3' located in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:13","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:12","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:11","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:10","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:08","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:49:05","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:58","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:52","Learner First","Learner First","URL: 학습분석 위키페이지",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '7' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:49","Learner First","Learner First","URL: 학습분석 위키페이지",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '7' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:48","Learner First","Learner First","URL: 학습분석 위키페이지",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '7' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:47","Learner First","Learner First","URL: 학습분석 위키페이지",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '7' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:31","Learner First","Learner First","URL: 학습분석 위키페이지",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '7' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:18","Learner First",-,"URL: 학습분석 위키페이지",URL,"Course module viewed","The user with id '3' viewed the 'url' activity with course module id '7'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:05","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:03","Learner First","Learner First","Page: 자바의 개요",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '6' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:02","Learner First",-,"Page: 자바의 개요",Page,"Course module viewed","The user with id '3' viewed the 'page' activity with course module id '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:48:01","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:59","Learner First","Learner First","Page: 자바의 개요",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '6' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:58","Learner First",-,"Page: 자바의 개요",Page,"Course module viewed","The user with id '3' viewed the 'page' activity with course module id '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:56","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:54","Learner First","Learner First","Page: 자바의 개요",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '6' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:52","Learner First",-,"Page: 자바의 개요",Page,"Course module viewed","The user with id '3' viewed the 'page' activity with course module id '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:50","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:39","Learner First","Learner First","Page: 자바의 개요",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '6' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:33","Learner First",-,"Page: 자바의 개요",Page,"Course module viewed","The user with id '3' viewed the 'page' activity with course module id '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:27","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:21","Learner First",-,"Forum: 자유게시판",Forum,"Discussion viewed","The user with id '3' has viewed the discussion with id '2' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
